Academic Year,LSS Number,LSS Name,School Number,School Name,Total HS Completers,Diploma Count ,Diploma Pct,Certificate Count,Certificate Pct,USM Requirements Count,USM Requirements Pct,CTE Requirements Count,CTE Requirements Pct,USM and CTE Requirements Count,USM and CTE Requirements Pct,Met Rigorous Indicator Count,Met Rigorous Indicator Pct,Rigorous Foreign Language Count,Rigorous Foreign Language Pct,Rigorous Math Count,Rigorous Math Pct,Rigorous Science Count,Rigorous Science Pct,Rigorous Tech Ed Count,Rigorous Tech Ed Pct,Rigorous SAT OR ACT Count,Rigorous SAT OR ACT Pct,Rigorous GPA Count,Rigorous GPA Pct,Create Date 
2019,21,Washington,0501,Hancock Middle Senior High,33,*,>= 95.0,*,<= 5.0,2,6.1,25,75.8,4,12.1,2,6.1,4,12.1,9,27.3,2,6.1,*,<= 5.0,11,33.3,18,54.5,20200715
2019,21,Washington,0601,Boonsboro High,206,*,>= 95.0,*,<= 5.0,79,38.3,59,28.6,38,18.4,32,15.5,45,21.8,107,51.9,21,10.2,*,<= 5.0,97,47.1,118,57.3,20200715
2019,21,Washington,0701,Smithsburg High,171,*,>= 95.0,*,<= 5.0,78,45.6,19,11.1,21,12.3,34,19.9,45,26.3,95,55.6,11,6.4,*,<= 5.0,73,42.7,90,52.6,20200715
2019,21,Washington,0705,Washington County Job Development Center,*,*,<= 5.0,*,>= 95.0,*,<= 5.0,*,<= 5.0,*,<= 5.0,*,<= 5.0,*,<= 5.0,*,<= 5.0,*,<= 5.0,*,<= 5.0,*,<= 5.0,*,<= 5.0,20200715
2019,21,Washington,2101,North Hagerstown High,301,*,>= 95.0,*,<= 5.0,141,46.8,78,25.9,*,<= 5.0,47,15.6,85,28.2,132,43.9,*,<= 5.0,*,<= 5.0,104,34.6,150,49.8,20200715
2019,21,Washington,2505,Marshall Street School,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,20200715
2019,21,Washington,A,All Washington Schools,1584,*,>= 95.0,*,<= 5.0,552,34.8,418,26.4,278,17.6,235,14.8,286,18.1,720,45.5,86,5.4,157,9.9,544,34.3,832,52.5,20200715
2019,22,Wicomico,0102,Mardela Middle & High,98,*,>= 95.0,*,<= 5.0,48,49.0,17,17.3,23,23.5,22,22.4,62,63.3,40,40.8,*,<= 5.0,*,<= 5.0,43,43.9,54,55.1,20200715
2019,22,Wicomico,0513,Wicomico High,200,*,>= 95.0,*,<= 5.0,100,50.0,*,<= 5.0,31,15.5,35,17.5,101,50.5,70,35.0,20,10.0,11,5.5,43,21.5,73,36.5,20200715
2019,22,Wicomico,0520,Wicomico County Evening High,33,*,>= 95.0,*,<= 5.0,2,6.1,5,15.2,*,<= 5.0,*,<= 5.0,2,6.1,*,<= 5.0,*,<= 5.0,*,<= 5.0,*,<= 5.0,*,<= 5.0,20200715
